campus, name, location
University of Maryland, Stamp IT, Stamp
University of Maryland, Office of Information Technology, Mitchell Building
University of Maryland, Computer Science Department, Computer Science Instructional Center
University of Maryland, Stamp Maintenance, Stamp
University of Maryland, McKeldin Library, McKeldin
University of Maryland, Department of Transportation, Regents Garage
University of Maryland, Police Department, Police Aux
University of Maryland, Dining Services, Stamp
University of Maryland, Recreation Services, Eppley Recreation Center
